Месяц выдачи кредита;Сумма кредита;Срок кредита;Возраст клиента;Пол клиента;Образование клиента;Тип товара;Наличие детей у клиента;Регион выдачи кредита;Доход клиента;Семейное положение;Оператор связи;Является ли клиентом банка;Флаг дефолта по кредиту
1;7000;12;39;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;21000;Другое;МТС;Не клиент банка;Нет дефолта
1;19000;6;20;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;17000;Другое;Теле2;Клиент банка;Нет дефолта
1;29000;12;23;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;31000;Другое;Билайн;Не клиент банка;Нет дефолта
1;10000;12;30;Мужской;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;31000;Никогда не был(а) женат/замужем;Теле2;Клиент банка;Нет дефолта
1;14500;12;25;Женский;Высшее;Мобильные телефоны;Детей нет;Другие регионы;26000;Женат/замужем;МТС;Клиент банка;Нет дефолта
1;32500;24;47;Женский;Среднее специальное;Мебель;Детей нет;Другие регионы;26000;Женат/замужем;МТС;Клиент банка;Нет дефолта
1;8000;3;23;Мужской;Высшее;Компьютеры, комплектующие;Детей нет;Другие регионы;21000;Другое;МТС;Клиент банка;Нет дефолта
1;20000;10;25;Женский;Высшее;Бытовая техника;Детей нет;Москва или МО;33000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
1;26000;6;21;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Москва или МО;31000;Другое;Билайн;Клиент банка;Нет дефолта
1;15000;24;25;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;26000;Другое;Теле2;Не клиент банка;Нет дефолта
1;30000;12;32;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;18000;Другое;МТС;Клиент банка;Нет дефолта
1;30500;12;38;Мужской;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;21000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
